PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
5ddf1fb32c5c10e8e9ee910d,HC2,HC2Q2,HC2Q2_R_qJwFsE5EsoC1NyF.png,,
5bc6299e8b25de0001d909f8,HC,HCQ1,HCQ1_R_1ITtk1RmtJnFbjO.png,,
614773b5dbd4c3cabeb14c29,HC,HCQ1,HCQ1_R_3DknBDBm69beuPA.png,,
5fb9adb28a52968d9f561808,HC,HCQ1,HCQ1_R_3p6j1NkC0whKYRn.png,,
61251289e008d8834d1cbdb8,HC,HCQ1,HCQ1_R_xtGcb9wwzMVRkzf.png,,
5bc6299e8b25de0001d909f8,HC,HCQ2,HCQ2_R_1ITtk1RmtJnFbjO.png,,
5d4311a255087c0017627c63,HC,HCQ2,HCQ2_R_1LutXCiUgsEJ9Mp.png,,
5a5a59afacc75b00017a4ee0,HC,HCQ2,HCQ2_R_1gvTaKPJaqotQzK.png,,
603e398b791c600929143195,HC,HCQ2,HCQ2_R_2P6BVh2rwjiG2Pr.png,,
5fbfb99036e420313c504a36,HC,HCQ2,HCQ2_R_2f10eiWLe7fmb3e.png,,
614773b5dbd4c3cabeb14c29,HC,HCQ2,HCQ2_R_3DknBDBm69beuPA.png,,
5fb9adb28a52968d9f561808,HC,HCQ2,HCQ2_R_3p6j1NkC0whKYRn.png,,
637fff88773a62435c2f4fc5,HC,HCQ2,HCQ2_R_3sndm1oH6W4jInK.png,,
64e369beb2e16553eb33edb1,HC,HCQ2,HCQ2_R_RV6jfGEAObaHFmx.png,,
61251289e008d8834d1cbdb8,HC,HCQ2,HCQ2_R_xtGcb9wwzMVRkzf.png,,
603e398b791c600929143195,HC,HCQ3,HCQ3_R_2P6BVh2rwjiG2Pr.png,,
64b66e8ca33d7cca9ba39ba3,LC,LCQ1,LCQ1_R_1eQS7L6A4R0sg08.png,,
6091c8c45595f158e17f0a0e,LC,LCQ1,LCQ1_R_20PwNOrPUNTnKgo.png,,
60475f1790672f23136c2cc4,LC,LCQ1,LCQ1_R_24c2iTFTV6Vstnq.png,,
64b66e8ca33d7cca9ba39ba3,LC,LCQ2,LCQ2_R_1eQS7L6A4R0sg08.png,,
6091c8c45595f158e17f0a0e,LC,LCQ3,LCQ3_R_20PwNOrPUNTnKgo.png,,
60475f1790672f23136c2cc4,LC,LCQ3,LCQ3_R_24c2iTFTV6Vstnq.png,,
613b7cf2f368095595aa6ef2,LC,LCQ3,LCQ3_R_2tG8SYcIBgA5kDO.png,,
6091c8c45595f158e17f0a0e,LC,LCQ4,LCQ4_R_20PwNOrPUNTnKgo.png,,
613b7cf2f368095595aa6ef2,LC,LCQ4,LCQ4_R_2tG8SYcIBgA5kDO.png,,
64b66e8ca33d7cca9ba39ba3,LC,LCQ5,LCQ5_R_1eQS7L6A4R0sg08.png,,
6091c8c45595f158e17f0a0e,LC,LCQ5,LCQ5_R_20PwNOrPUNTnKgo.png,,
614215e5a85111f66a9abbfc,LC,LCQ5,LCQ5_R_22ugR9r6iedkFb6.png,,
613b7cf2f368095595aa6ef2,LC,LCQ5,LCQ5_R_2tG8SYcIBgA5kDO.png,,
5f245764a137ac00089e6c7d,PC,PCQ2,PCQ2_R_10IUfHqj7N8hVUi.png,,
615da9ee365ab7d547b98979,PC,PCQ2,PCQ2_R_115SuwIUREqf0Yy.png,,
6170c9123edfc3ee296cda22,PC,PCQ2,PCQ2_R_11b7HTQca4PVNK4.png,,
60a53519043904037bac8c91,PC,PCQ2,PCQ2_R_1KjYt3cnk5eUjon.png,,
5a5a59afacc75b00017a4ee0,PC,PCQ2,PCQ2_R_1gvTaKPJaqotQzK.png,,
6091c8c45595f158e17f0a0e,PC,PCQ2,PCQ2_R_20PwNOrPUNTnKgo.png,,
615d3a160645989797ca0779,PC,PCQ2,PCQ2_R_25zqm66mLl5FH30.png,,
5edb46d311c02e7bc763c4d2,PC,PCQ2,PCQ2_R_2CHgwbb2ch9ytPK.png,,
5cba4c057fed33000174a2e7,PC,PCQ2,PCQ2_R_2TzXM7qqHGS0nnj.png,,
61411485c83a92e61d0a5938,PC,PCQ2,PCQ2_R_2YeV3Pg9H2Pwsa6.png,,
6093672d6d0cab92f5319597,PC,PCQ2,PCQ2_R_2bOjR2UgzwnE4iW.png,,
61577fbbc195adfb13f6c45f,PC,PCQ2,PCQ2_R_2zkezmGGeaFmBAX.png,,
